parent_sku,parent_desc,component_sku,component_desc,component_type,qty_per_unit,unit_cost_usd,supplier,warranty_months,mtbf_hours
LENOVOYOGA11E3-CEL-UNK-UNK,Lenovo Yoga 11e 3rd Gen. (CEL-UNK-UNK),BATT-LENOVOYOGA11E3-G1,3-Cell Battery,Battery,1,31.05,Foxconn,12,24761
LENOVOYOGA11E3-CEL-UNK-UNK,Lenovo Yoga 11e 3rd Gen. (CEL-UNK-UNK),SSD-LENOVOYOGA11E3-G1,SSD/eMMC Storage,Storage,1,44.75,Samsung SDI,12,81586
LENOVOYOGA11E3-CEL-UNK-UNK,Lenovo Yoga 11e 3rd Gen. (CEL-UNK-UNK),HNG-LENOVOYOGA11E3-G1,Display Hinge Assembly,Chassis/Hinge,2,6.74,Compal,12,31691
LENOVOYOGA11E3-CEL-UNK-UNK,Lenovo Yoga 11e 3rd Gen. (CEL-UNK-UNK),KB-LENOVOYOGA11E3-G1,Backlit Keyboard - US Layout,Keyboard,1,19.34,Foxconn,12,58660
MICROSOFTSURFA-I5-256.0-256.0,Microsoft Surface Pro (I5-256.0-256.0),MB-MICROSOFTSURFA-G1,Motherboard Rev1,Motherboard,1,164.86,LG Display,12,19142
MICROSOFTSURFA-I5-256.0-256.0,Microsoft Surface Pro (I5-256.0-256.0),DISP-MICROSOFTSURFA-G1,14in FHD IPS Display Panel,Display,1,73.73,Samsung,12,46903
MICROSOFTSURFA-I5-256.0-256.0,Microsoft Surface Pro (I5-256.0-256.0),BATT-MICROSOFTSURFA-G1,3-Cell Battery,Battery,1,29.31,Quanta,12,24276
MICROSOFTSURFA-I5-256.0-256.0,Microsoft Surface Pro (I5-256.0-256.0),SSD-MICROSOFTSURFA-G1,SSD/eMMC Storage,Storage,1,36.02,BOE,12,81742
MICROSOFTSURFA-I5-256.0-256.0,Microsoft Surface Pro (I5-256.0-256.0),HNG-MICROSOFTSURFA-G1,Display Hinge Assembly,Chassis/Hinge,2,6.63,BOE,12,30434
MICROSOFTSURFA-I5-256.0-256.0,Microsoft Surface Pro (I5-256.0-256.0),KB-MICROSOFTSURFA-G1,Backlit Keyboard - US Layout,Keyboard,1,19.11,Foxconn,12,58697
MICROSOFTSURFA2-I5-4.0-128.0,Microsoft Surface Pro 3 (I5-4.0-128.0),MB-MICROSOFTSURFA2-G1,Motherboard Rev1,Motherboard,1,149.84,SK Hynix,12,20872
MICROSOFTSURFA2-I5-4.0-128.0,Microsoft Surface Pro 3 (I5-4.0-128.0),DISP-MICROSOFTSURFA2-G1,14in FHD IPS Display Panel,Display,1,73.72,Samsung SDI,12,45041
MICROSOFTSURFA2-I5-4.0-128.0,Microsoft Surface Pro 3 (I5-4.0-128.0),BATT-MICROSOFTSURFA2-G1,3-Cell Battery,Battery,1,29.07,Samsung,12,23675
MICROSOFTSURFA2-I5-4.0-128.0,Microsoft Surface Pro 3 (I5-4.0-128.0),SSD-MICROSOFTSURFA2-G1,SSD/eMMC Storage,Storage,1,34.27,Compal,12,81000
MICROSOFTSURFA2-I5-4.0-128.0,Microsoft Surface Pro 3 (I5-4.0-128.0),HNG-MICROSOFTSURFA2-G1,Display Hinge Assembly,Chassis/Hinge,2,6.79,Samsung,12,31414
MICROSOFTSURFA2-I5-4.0-128.0,Microsoft Surface Pro 3 (I5-4.0-128.0),KB-MICROSOFTSURFA2-G1,Backlit Keyboard - US Layout,Keyboard,1,19.19,AUO,12,59005
